ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
REPUBLIC OF ARGENTINA,BONOS DEL TESORO $ TPM V.2020,TJ20,100303969,A+0%,2020-06-21,ARS,Sovereign,20000000,1.045,1.0455,20910000,20910000,765715.290136884,39.778,1.237
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,100303969,25.577%,2020-02-01,ARS,Diversified Finan Serv,3700000,1.02,1.02018,3774666,3774666,138226.660514578,34.123,0.961
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,100303969,26.413%,2020-02-14,ARS,Banks,4000000,0.944,0.94423,3776920,3776920,138309.201034137,36.186,1.123
REPUBLIC OF ARGENTINA,BONO NACIÓN ARG $ V.06/03/20,A2M2P,100303969,4%,2020-03-06,ARS,Sovereign,10000000,1.058,1.0575,10575000,10575000,387251.993935799,1.368,1.533
ARGENT LETRAS DEL TESORO,L.DEL TESORO $ 14/09/18,L2PS8,100303969,0%,2018-09-14,ARS,Sovereign,5000000,1.082,1.0815,5407500,5407500,198020.345835256,0,0.122
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,100303969,A+2.65%,2021-03-27,ARS,Banks,6000000,1.047,1.04734,6284040,6284040,230118.867136862,40.557,1.45
TARJETA NARANJA SA,ON TARJETA NARANJA CL.40 S2,T4020,100303969,B+3.69%,2020-10-10,ARS,Diversified Finan Serv,3000000,0.87,0.87001,2610030,2610030,95578.1864522224,54.513,1.181
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,100303969,B+2.5%,2019-03-11,ARS,Sovereign,5751781,1.03,1.03,5924334.43,5924334.43,216946.602435934,38.737,0.506
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,100303969,8.75%,2024-04-04,USD,Oil&Gas,111000,1.04,1.03991,115430.01,3152139.627078,115430.01,9.732,3.73
REPUBLIC OF ARGENTINA,BONO NACION ARG USD 8.75% 2024,AY24D,100303969,8.75%,2024-05-07,USD,Sovereign,250645,0.01,0.01001,2508.95645,68514.08094531,2508.95645,0,3.184
