ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,100303969,25.57655556%,2020-02-01,ARS,Diversified Finan Serv,3700000,100.125,100.125,3704625,3704625,180372.905782742,33.922,1.128
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,100303969,26.4125%,2020-02-14,ARS,Banks,4000000,105.72,105.72,4228800,4228800,205894.238681124,26.025,1.333
BONO ARG AJUSTE CER,BONO NACION ARG $ V.06/03/20,A2M2P,100303969,4%,2020-03-06,ARS,Sovereign,10000000,103.765,103.765,10376500,10376500,505216.980626817,2.232,1.782
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,100303969,A+2.65%,2021-03-27,ARS,Banks,6000000,102.56,102.56,6153600,6153600,299610.004528037,25.509,1.935
IND METALURGICAS PESCARM,ON IND MET PESCARMONA CL11 U$S,NMCBO,100303969,3,2016-06-18,USD,Energy-Alternate Sources,570000,0,0,0,0,0,0,0
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,100303969,B+2.5%,2019-03-11,ARS,Sovereign,751781,104.75,104.75,787490.5975,787490.5975,38341.7936626953,23.294,0.743
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,100303969,8.75%,2024-04-04,USD,Oil&Gas,111000,22700,22700,25197000,517513623.9,25197000,0,4.399
REPUBLIC OF ARGENTINA,BONO NACION ARG USD 8.75% 2024,AY24D,100303969,8.75%,2024-05-07,USD,Sovereign,276345,100.083,100.083,276574.36635,5680477.93815274,276574.36635,14.946,2.69
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,100303969,B+4.74%,2020-02-10,ARS,Oil&Gas,6100000,1.054,1.054,64294,64294,3130.38313038313,0,1.528
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,100303969,B+0%,2020-09-24,ARS,Oil&Gas,96301,0.963,0.963,927.37863,927.37863,45.1527423838899,0,1.412
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,100303969,B+0%,2020-12-10,ARS,Oil&Gas,4587748,0.969,0.969,44455.27812,44455.27812,2164.46406637226,0,2.116
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,100303969,B+3.25%,2020-03-01,ARS,Sovereign,6000000,109,109,6540000,6540000,318423.269242941,22.567,1.379
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,100303969,B+3.39%,2019-07-13,ARS,Banks,5000000,94.982,94.982,4749100,4749100,231226.903358051,39.929,0.859
BONCER,BONO TES NAC 2.5% $ 22/07/21,TC21P,100303969,2.5%,2021-07-22,ARS,Sovereign,4860000,136.01,136.01,6610086,6610086,321835.656589755,0,3.115
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,100303969,B+0.0394%,2020-07-26,ARS,Diversified Finan Serv,6100000,100.38,100.38,6123180,6123180,298128.898128898,26.015,1.569
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL. 42 V.20,52259,100303969,B+3.2%,2020-02-20,ARS,Banks,8500000,103.412,103.412,8790020,8790020,427973.532891566,26.945,1.318
BANCO SANTANDER RIO SA,ON BCO.SANTANDER RIO CL.17 V.2,52261,100303969,B+2.77%,2020-02-22,ARS,Banks,10000000,104.164,104.164,10416400,10416400,507159.654700638,25.71,1.337
ARCOR SAIC,O.N. ARCOR S.A.I.C. CL.11 V.03,RCCBO,100303969,B+2.99%,2021-05-03,ARS,Food,7000000,99.963,99.963,6997410,6997410,340693.909546369,32.319,1.684
REPUBLIC OF ARGENTINA,BONOS DEL TESORO $ TPM V.2020,TJ20,53811008,A+0%,2020-06-21,ARS,Sovereign,170000000,109,109,185300000,185300000,9021992.62855001,26.072,1.541
GPAT CIA FINANCIERA SA,ON GPAT CIA.FIN.28 CL.B. V.27/,GPUBO,53811008,B+3.97%,2020-06-27,ARS,Diversified Finan Serv,24666666,102.749,102.749,25344752.64834,25344752.64834,1233999.84655017,26.401,1.578
GPAT CIA FINANCIERA SA,ON GPAT C FIN 30 CL B 5/10/18,GPWBO,53811008,B+4.17%,2020-10-05,ARS,Diversified Finan Serv,10000000,102.097,102.097,10209700,10209700,497095.726603923,26.699,1.725
HSBC BANK ARGENTINA SA,ON HSBC ARG. CL. 7 V.07/12/20,HSC7O,53811008,27.17133995%,2020-12-07,ARS,Banks,50000000,109.4,109.4,54700000,54700000,2663264.95834693,27.698,1.62
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,53811008,25.57655556%,2020-02-01,ARS,Diversified Finan Serv,15000000,100.125,100.125,15018750,15018750,731241.509930035,33.922,1.128
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,53811008,26.4125%,2020-02-14,ARS,Banks,15000000,105.72,105.72,15858000,15858000,772103.395054215,26.025,1.333
BONO ARG AJUSTE CER,BONO NACION ARG $ V.06/03/20,A2M2P,53811008,4%,2020-03-06,ARS,Sovereign,120000000,103.765,103.765,124518000,124518000,6062603.7675218,2.232,1.782
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,53811008,A+2.65%,2021-03-27,ARS,Banks,100000000,102.56,102.56,102560000,102560000,4993500.07546729,25.509,1.935
REPUBLIC OF ARGENTINA,BONOS DE CONSOLIDACION SERIE 8,PR15,53811008,B+0%,2022-10-04,ARS,Sovereign,50000000,166.75,166.75,83375000,83375000,4059409.79711472,7.64,2.479
IND METALURGICAS PESCARM,ON IND MET PESCARMONA CL11 U$S,NMCBO,53811008,3,2016-06-18,USD,Energy-Alternate Sources,3700000,0,0,0,0,0,0,0
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,53811008,B+2.5%,2019-03-11,ARS,Sovereign,175742532,104.75,104.75,184090302.27,184090302.27,8963094.17197778,23.294,0.743
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,53811008,8.75%,2024-04-04,USD,Oil&Gas,1507000,22700,22700,342089000,7026063344.3,342089000,0,4.399
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,53811008,B+4.74%,2020-02-10,ARS,Oil&Gas,29755000,1.054,1.054,313617.7,313617.7,15269.598367959,0,1.528
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,53811008,B+0%,2020-09-24,ARS,Oil&Gas,5803165,0.963,0.963,55884.47895,55884.47895,2720.93554850112,0,1.412
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 7,PNC7O,53811008,B+0%,2020-11-20,ARS,Oil&Gas,7344309,0.981,0.981,72047.67129,72047.67129,3507.89832316554,0,2.061
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,53811008,B+0%,2020-12-10,ARS,Oil&Gas,13763244,0.969,0.969,133365.83436,133365.83436,6493.39219911679,0,2.116
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,53811008,B+3.25%,2020-03-01,ARS,Sovereign,120000000,109,109,130800000,130800000,6368465.38485883,22.567,1.379
GPAT CIA FINANCIERA SA,ON GPAT CIA. FIN. S.23 Cl. "B",GPOBO,53811008,B+3.5%,2019-06-14,ARS,Diversified Finan Serv,15000000,103.325,103.325,15498750,15498750,754612.025103828,33.858,0.815
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,53811008,B+3.39%,2019-07-13,ARS,Banks,15888888,94.982,94.982,15091583.60016,15091583.60016,734787.674008579,39.929,0.859
BONCER,BONO TES NAC 2.5% $ 22/07/21,TC21P,53811008,2.5%,2021-07-22,ARS,Sovereign,261600000,136.01,136.01,355802160,355802160,17323499.539893,0,3.115
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,53811008,B+0.0394%,2020-07-26,ARS,Diversified Finan Serv,21900000,100.38,100.38,21983220,21983220,1070331.6178726,26.015,1.569
BANCO FRANCES DEL RIO,ON BBVA BCO.FRANCES C 20,BFCLO,53811008,B+3.23%,2019-08-08,ARS,Banks,11546000,105.566,105.566,12188650.36,12188650.36,593447.996221767,25.944,0.988
BANCO CMF SA,ON FCA COMP.FINAN. CL.11,51734,53811008,25.868427,2018-02-10,ARS,Banks,8000000,0,0,0,0,0,0,0
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.33,RBSZO,53811008,26.20769689%,2019-08-19,ARS,Auto Manufacturers,10821428,103.567,103.567,11207428.33676,11207428.33676,545673.695840535,32.731,0.852
TARJETA NARANJA SA,ON TARJETA NARANJA C.35 S.2 $,T352O,53811008,B+3.99%,2020-09-27,ARS,Diversified Finan Serv,46463333,102.745,102.745,47738751.49085,47738751.49085,2324331.70019768,26.357,1.678
TOYOTA CIA FINANC AR,ON TOYOTA CIA.FIN.20 28/9/18 $,TYCLO,53811008,25.93293478%,2018-09-28,ARS,Auto Manufacturers,8500000,68.286,68.286,5804310,5804310,282603.572767507,56.874,0.252
TARJETAS CUYANAS SA,ON TARJETAS CUYANAS 26 S2 V24/,TCR2O,53811008,B+4%,2020-10-24,ARS,Diversified Finan Serv,35023666,101.49,101.49,35545518.6234,35545518.6234,1730660.58822613,26.142,1.743
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.35 V.28/10,51938,53811008,B+4%,2019-10-28,ARS,Auto Manufacturers,26277777,100.377,100.377,26376844.21929,26376844.21929,1284250.91263274,37.441,0.943
TELECOM PERSONAL SA,ON TELECOM PERSONAL SERIE III,TLS3O,53811008,B+2.9%,2018-05-16,ARS,Telecommunications,36000000,105.339,105.339,37922040,37922040,1846370.0234192,182.258,0.027
GPAT CIA FINANCIERA SA,ON GPAT CIA.FIN.26 CL.B. V.24/,GPRBO,53811008,B+3.44%,2019-01-24,ARS,Diversified Finan Serv,5285714,100.739,100.739,5324775.42646,5324775.42646,259255.718544017,35.689,0.581
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.36 V.30/01,RB36O,53811008,26.180625%,2019-01-30,ARS,Auto Manufacturers,4900000,100.266,100.266,4913034,4913034,239208.615929927,41.978,0.514
