ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,100303969,25.57655556%,2020-02-01,ARS,Diversified Finan Serv,3700000,104.523,104.523,3867351,3867351,192021.479429201,28.195,1.233
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,100303969,26.4125%,2020-02-14,ARS,Banks,4000000,103.818,103.818,4152720,4152720,206190.603866893,25.843,1.412
BONO ARG AJUSTE CER,BONO NACION ARG $ V.06/03/20,A2M2P,100303969,4%,2020-03-06,ARS,Sovereign,10000000,106.1,106.1,10610000,10610000,526807.082352708,0.945,1.874
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,100303969,A+2.65%,2021-03-27,ARS,Banks,6000000,100.176,100.176,6010560,6010560,298435.963893109,25.308,2.014
IND METALURGICAS PESCARM,ON IND MET PESCARMONA CL11 U$S,NMCBO,100303969,3,2016-06-18,USD,Energy-Alternate Sources,570000,0,0,0,0,0,0,0
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,100303969,B+2.5%,2019-03-11,ARS,Sovereign,751781,103.25,103.25,776213.8825,776213.8825,38540.5250444385,22.595,0.823
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,100303969,8.75%,2024-04-04,USD,Oil&Gas,111000,22.55,22.55,25030.5,504119.2761,25030.5,67.395,1.652
REPUBLIC OF ARGENTINA,BONO NACION ARG USD 8.75% 2024,AY24D,100303969,8.75%,2024-05-07,USD,Sovereign,276345,100.042,100.042,276461.0649,5567981.13929898,276461.0649,14.542,2.781
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,100303969,B+4.74%,2020-02-10,ARS,Oil&Gas,6100000,1.038,1.038,63318,63318,3143.86153067,0,1.611
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,100303969,B+0%,2020-09-24,ARS,Oil&Gas,96301,0.96,0.96,924.4896,924.4896,45.9027020585694,0,1.493
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,100303969,B+0%,2020-12-10,ARS,Oil&Gas,4587748,0.943,0.943,43262.46364,43262.46364,2148.06524463511,0,2.2
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,100303969,B+3.25%,2020-03-01,ARS,Sovereign,6000000,106,106,6360000,6360000,315786.337772217,23.101,1.448
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,100303969,B+3.39%,2019-07-13,ARS,Banks,5000000,106.216,106.216,5310800,5310800,263691.522427781,25.039,1.002
BONCER,BONO TES NAC 2.5% $ 22/07/21,TC21P,100303969,2.5%,2021-07-22,ARS,Sovereign,4860000,140.2,140.2,6813720,6813720,338314.415944231,0,3.196
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,100303969,B+0.0394%,2020-07-26,ARS,Diversified Finan Serv,6100000,104.787,104.787,6392007,6392007,317375.547412637,22.018,1.688
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL. 42 V.20,52259,100303969,B+3.2%,2020-02-20,ARS,Banks,8500000,101.383,101.383,8617555,8617555,427878.322956078,26.687,1.393
BANCO SANTANDER RIO SA,ON BCO.SANTANDER RIO CL.17 V.2,52261,100303969,B+2.77%,2020-02-22,ARS,Banks,10000000,102.809,102.809,10280900,10280900,510466.628931192,25.043,1.416
ARCOR SAIC,O.N. ARCOR S.A.I.C. CL.11 V.03,RCCBO,100303969,B+2.99%,2021-05-03,ARS,Food,7000000,104.175,104.175,7292250,7292250,362074.358745196,28.384,1.826
REPUBLIC OF ARGENTINA,BONOS DEL TESORO $ TPM V.2020,TJ20,53811008,A+0%,2020-06-21,ARS,Sovereign,170000000,107.1,107.1,182070000,182070000,9040128.69782822,23.379,1.658
GPAT CIA FINANCIERA SA,ON GPAT CIA.FIN.28 CL.B. V.27/,GPUBO,53811008,B+3.97%,2020-06-27,ARS,Diversified Finan Serv,24666666,100.547,100.547,24801592.66302,24801592.66302,1231447.18836059,26.226,1.658
GPAT CIA FINANCIERA SA,ON GPAT C FIN 30 CL B 5/10/18,GPWBO,53811008,B+4.17%,2020-10-05,ARS,Diversified Finan Serv,10000000,106.569,106.569,10656900,10656900,529135.758334078,26.494,1.695
HSBC BANK ARGENTINA SA,ON HSBC ARG. CL. 7 V.07/12/20,HSC7O,53811008,27.17133995%,2020-12-07,ARS,Banks,50000000,109.4,109.4,54700000,54700000,2715961.11260067,26.445,1.711
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,53811008,25.57655556%,2020-02-01,ARS,Diversified Finan Serv,15000000,104.523,104.523,15678450,15678450,778465.457145411,28.195,1.233
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,53811008,26.4125%,2020-02-14,ARS,Banks,15000000,103.818,103.818,15572700,15572700,773214.764500849,25.843,1.412
BONO ARG AJUSTE CER,BONO NACION ARG $ V.06/03/20,A2M2P,53811008,4%,2020-03-06,ARS,Sovereign,120000000,106.1,106.1,127320000,127320000,6321684.98823249,0.945,1.874
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,53811008,A+2.65%,2021-03-27,ARS,Banks,100000000,100.176,100.176,100176000,100176000,4973932.73155182,25.308,2.014
REPUBLIC OF ARGENTINA,BONOS DE CONSOLIDACION SERIE 8,PR15,53811008,B+0%,2022-10-04,ARS,Sovereign,50000000,166.2,166.2,83100000,83100000,4126076.20579736,8.668,2.454
IND METALURGICAS PESCARM,ON IND MET PESCARMONA CL11 U$S,NMCBO,53811008,3,2016-06-18,USD,Energy-Alternate Sources,3700000,0,0,0,0,0,0,0
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,53811008,B+2.5%,2019-03-11,ARS,Sovereign,175742532,103.25,103.25,181454164.29,181454164.29,9009551.26016623,22.595,0.823
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,53811008,8.75%,2024-04-04,USD,Oil&Gas,1507000,22.55,22.55,339828.5,6844213.9557,339828.5,67.395,1.652
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,53811008,B+4.74%,2020-02-10,ARS,Oil&Gas,29755000,1.038,1.038,308856.9,308856.9,15335.3442368993,0,1.611
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,53811008,B+0%,2020-09-24,ARS,Oil&Gas,5803165,0.96,0.96,55710.384,55710.384,2766.1286382459,0,1.493
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 7,PNC7O,53811008,B+0%,2020-11-20,ARS,Oil&Gas,7344309,0.958,0.958,70358.48022,70358.48022,3493.43503142968,0,2.145
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,53811008,B+0%,2020-12-10,ARS,Oil&Gas,13763244,0.943,0.943,129787.39092,129787.39092,6444.19573390532,0,2.2
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,53811008,B+3.25%,2020-03-01,ARS,Sovereign,120000000,106,106,127200000,127200000,6315726.75544433,23.101,1.448
JOHN DEERE CIA FINANCIER,ON JHON DEERE CRED CIA FIN 6 $,JHC6O,53811008,B+4.2%,2018-03-30,ARS,Machinery-Diversified,5084982,107.191,107.191,5450643.05562,5450643.05562,270635.001421039,0,0.005
GPAT CIA FINANCIERA SA,ON GPAT CIA. FIN. S.23 Cl. "B",GPOBO,53811008,B+3.5%,2019-06-14,ARS,Diversified Finan Serv,15000000,101.089,101.089,15163350,15163350,752889.742902255,33.218,0.888
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,53811008,B+3.39%,2019-07-13,ARS,Banks,15888888,106.216,106.216,16876541.27808,16876541.27808,837953.013280901,25.039,1.002
BONCER,BONO TES NAC 2.5% $ 22/07/21,TC21P,53811008,2.5%,2021-07-22,ARS,Sovereign,261600000,140.2,140.2,366763200,366763200,18210504.3644055,0,3.196
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,53811008,B+0.0394%,2020-07-26,ARS,Diversified Finan Serv,21900000,104.787,104.787,22948353,22948353,1139430.24398963,22.018,1.688
BANCO FRANCES DEL RIO,ON BBVA BCO.FRANCES C 20,BFCLO,53811008,B+3.23%,2019-08-08,ARS,Banks,11546000,103.522,103.522,11952650.12,11952650.12,593472.26541941,25.723,1.062
BANCO CMF SA,ON FCA COMP.FINAN. CL.11,51734,53811008,25.868427,2018-02-10,ARS,Banks,8000000,0,0,0,0,0,0,0
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.33,RBSZO,53811008,26.20769689%,2019-08-19,ARS,Auto Manufacturers,10821428,103.095,103.095,11156351.1966,11156351.1966,553934.47913129,30.445,0.935
TARJETA NARANJA SA,ON TARJETA NARANJA C.35 S.2 $,T352O,53811008,B+3.99%,2020-09-27,ARS,Diversified Finan Serv,46463333,100.546,100.546,46717022.79818,46717022.79818,2319590.80834252,26.244,1.753
TOYOTA CIA FINANC AR,ON TOYOTA CIA.FIN.20 28/9/18 $,TYCLO,53811008,25.93293478%,2018-09-28,ARS,Auto Manufacturers,8500000,66.831,66.831,5680635,5680635,282054.547621176,50.08,0.329
TARJETAS CUYANAS SA,ON TARJETAS CUYANAS 26 S2 V24/,TCR2O,53811008,B+4%,2020-10-24,ARS,Diversified Finan Serv,35023666,106.006,106.006,37127187.37996,37127187.37996,1843436.87649378,29.428,1.573
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.35 V.28/10,51938,53811008,B+4%,2019-10-28,ARS,Auto Manufacturers,26277777,104.803,104.803,27539898.62931,27539898.62931,1367409.39163017,30.147,1.047
TELECOM PERSONAL SA,ON TELECOM PERSONAL SERIE III,TLS3O,53811008,B+2.9%,2018-05-16,ARS,Telecommunications,36000000,102.768,102.768,36996480,36996480,1836947.00151935,81.902,0.095
GPAT CIA FINANCIERA SA,ON GPAT CIA.FIN.26 CL.B. V.24/,GPRBO,53811008,B+3.44%,2019-01-24,ARS,Diversified Finan Serv,5285714,105.069,105.069,5553646.84266,5553646.84266,275749.339264754,25.181,0.683
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.36 V.30/01,RB36O,53811008,26.180625%,2019-01-30,ARS,Auto Manufacturers,4900000,104.631,104.631,5126919,5126919,254561.474066792,29.384,0.61
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL. 42 V.20,52259,53811008,B+3.2%,2020-02-20,ARS,Banks,51500000,101.383,101.383,52212245,52212245,2592439.25085153,26.687,1.393
