ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
REPUBLIC OF ARGENTINA,BONOS DEL TESORO $ TPM V.2020,TJ20,100303969,A+0%,21/06/2020,ARS,Sovereign,20000000,1.045,1.0455,20910000,20910000,765715.2901,39.778,1.237
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,100303969,25.58%,01/02/2020,ARS,Diversified Finan Serv,3700000,1.02,1.02018,3774666,3774666,138226.6605,34.123,0.961
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,100303969,26.41%,14/02/2020,ARS,Banks,4000000,0.944,0.94423,3776920,3776920,138309.201,36.186,1.123
REPUBLIC OF ARGENTINA,BONO NACIÓN ARG $ V.06/03/20,A2M2P,100303969,4%,06/03/2020,ARS,Sovereign,10000000,1.058,1.0575,10575000,10575000,387251.9939,1.368,1.533
ARGENT LETRAS DEL TESORO,L.DEL TESORO $ 14/09/18,L2PS8,100303969,0%,14/09/2018,ARS,Sovereign,5000000,1.082,1.0815,5407500,5407500,198020.3458,0,0.122
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,100303969,A+2.65%,27/03/2021,ARS,Banks,6000000,1.047,1.04734,6284040,6284040,230118.8671,40.557,1.45
TARJETA NARANJA SA,ON TARJETA NARANJA CL.40 S2,T4020,100303969,B+3.69%,10/10/2020,ARS,Diversified Finan Serv,3000000,0.87,0.87001,2610030,2610030,95578.18645,54.513,1.181
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,100303969,B+2.5%,11/03/2019,ARS,Sovereign,5751781,1.03,1.03,5924334.43,5924334.43,216946.6024,38.737,0.506
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,100303969,8.75%,04/04/2024,USD,Oil&Gas,111000,1.04,1.03991,115430.01,3152139.627,115430.01,9.732,3.73
REPUBLIC OF ARGENTINA,BONO NACION ARG USD 8.75% 2024,AY24D,100303969,8.75%,07/05/2024,USD,Sovereign,250645,1,1,2508.95645,68514.08095,2508.95645,0,3.184
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,100303969,B+4.74%,10/02/2020,ARS,Oil&Gas,6100000,1.07,1.0701,6527610,6527610,239038.2968,44.952,0.925
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,100303969,B+0%,24/09/2020,ARS,Oil&Gas,96301,0.99,0.99026,95363.02826,95363.02826,3492.15346,69.759,0.632
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,100303969,B+0%,10/12/2020,ARS,Oil&Gas,4587748,0.859,0.859,3940875.532,3940875.532,144313.1828,47.251,1.37
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,100303969,B+3.25%,01/03/2020,ARS,Sovereign,6000000,0.998,0.998,5988000,5988000,219278.0085,48.073,0.956
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,100303969,B+3.39%,13/07/2019,ARS,Banks,5000000,0.973,0.97345,4867250,4867250,178236.621,44.505,0.711
