ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,100303969,25.57655556%,2020-02-01,ARS,Diversified Finan Serv,3700000,102.083,102.083,3777071,3777071,187768.249517787,28.404,1.303
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,100303969,26.4125%,2020-02-14,ARS,Banks,4000000,101.111,101.111,4044440,4044440,201059.873928692,26.329,1.481
IND METALURGICAS PESCARM,ON IND MET PESCARMONA CL11 U$S,NMCBO,100303969,3,2016-06-18,USD,Energy-Alternate Sources,570000,0,0,0,0,0,0,0
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,100303969,B+2.5%,2019-03-11,ARS,Sovereign,751781,108.25,108.25,813802.9325,813802.9325,40456.3091580664,22.142,0.847
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,100303969,8.75%,2024-04-04,USD,Oil&Gas,111000,100.099,100.099,111109.89,2235042.103284,111109.89,10.76,3.916
REPUBLIC OF ARGENTINA,BONO NACION ARG USD 8.75% 2024,AY24D,100303969,8.75%,2024-05-07,USD,Sovereign,276345,100.04,100.04,276455.538,5561069.0201928,276455.538,14.135,2.876
REPUBLIC OF ARGENTINA,BONO NACION ARG. U$S 2.4% 2018,AM18D,100303969,2.4%,2018-03-18,USD,Sovereign,410000,100.15,100.15,410615,8259767.094,410615,19.675,0.051
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,100303969,B+4.74%,2020-02-10,ARS,Oil&Gas,6100000,101.356,101.356,6182716,6182716,307359.263457217,27.291,1.425
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,100303969,B+0%,2020-09-24,ARS,Oil&Gas,96301,104.368,104.368,100507.42768,100507.42768,4996.49166219253,38.39,1.033
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,100303969,B+0%,2020-12-10,ARS,Oil&Gas,4587748,97.728,97.728,4483514.36544,4483514.36544,222887.428932769,26.595,1.838
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,100303969,B+3.25%,2020-03-01,ARS,Sovereign,6000000,107.25,107.25,6435000,6435000,319900.972379646,29.278,1.3
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,100303969,B+3.39%,2019-07-13,ARS,Banks,5000000,103.826,103.826,5191300,5191300,258073.336117242,25.647,1.067
BONCER,BONO TES NAC 2.5% $ 22/07/21,TC21P,100303969,2.5%,2021-07-22,ARS,Sovereign,4860000,135.75,135.75,6597450,6597450,327976.794129929,0,3.279
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,100303969,B+0.0394%,2020-07-26,ARS,Diversified Finan Serv,6100000,102.353,102.353,6243533,6243533,310382.638350335,22.641,1.749
TELECOM PERSONAL SA,ON TELECOM PERSONAL SERIE III,TLS3O,100303969,B+2.9%,2018-05-16,ARS,Telecommunications,3160000,100.096,100.096,3163033.6,3163033.6,157242.816520511,64.852,0.159
